f1,f2,f3,f4,f5,f6,f7,f8,f9,label
0.12,0.85,0.33,0.44,0.91,0.22,0.73,0.55,0.61,1
0.91,0.14,0.78,0.66,0.12,0.88,0.34,0.29,0.47,0
0.45,0.52,0.67,0.81,0.39,0.58,0.62,0.77,0.49,1
0.76,0.23,0.11,0.95,0.84,0.36,0.41,0.68,0.52,0
0.33,0.67,0.49,0.28,0.75,0.91,0.55,0.12,0.83,1
0.82,0.19,0.54,0.63,0.21,0.47,0.88,0.72,0.35,0
0.27,0.74,0.88,0.51,0.66,0.39,0.14,0.93,0.57,1
0.68,0.31,0.22,0.79,0.58,0.84,0.63,0.41,0.26,0
0.59,0.48,0.91,0.37,0.44,0.73,0.81,0.69,0.18,1
0.14,0.92,0.36,0.55,0.87,0.21,0.49,0.78,0.64,1
0.88,0.25,0.62,0.83,0.19,0.46,0.71,0.52,0.33,0
0.51,0.61,0.28,0.74,0.92,0.34,0.67,0.43,0.58,1
0.77,0.13,0.85,0.49,0.36,0.65,0.22,0.91,0.44,0
0.39,0.82,0.56,0.68,0.71,0.27,0.53,0.19,0.95,1
0.93,0.41,0.18,0.57,0.29,0.88,0.64,0.75,0.11,0
0.24,0.69,0.73,0.34,0.86,0.55,0.48,0.92,0.62,1
0.66,0.38,0.44,0.91,0.52,0.79,0.31,0.58,0.27,0
0.47,0.57,0.82,0.26,0.63,0.41,0.77,0.68,0.35,1
0.81,0.22,0.39,0.88,0.17,0.72,0.59,0.46,0.94,0
0.36,0.76,0.61,0.53,0.78,0.14,0.85,0.67,0.42,1
0.72,0.29,0.47,0.85,0.33,0.69,0.54,0.21,0.88,0
0.53,0.64,0.79,0.32,0.91,0.48,0.36,0.74,0.55,1
0.95,0.11,0.23,0.77,0.26,0.84,0.62,0.58,0.31,0
0.29,0.88,0.58,0.46,0.73,0.35,0.92,0.67,0.19,1
0.61,0.42,0.34,0.93,0.48,0.77,0.25,0.86,0.59,0
0.44,0.73,0.91,0.39,0.66,0.28,0.81,0.52,0.63,1
0.83,0.17,0.52,0.68,0.24,0.91,0.37,0.75,0.46,0
0.35,0.79,0.64,0.55,0.82,0.13,0.93,0.48,0.72,1
0.69,0.33,0.41,0.87,0.51,0.76,0.29,0.65,0.58,0
0.58,0.46,0.84,0.27,0.74,0.39,0.68,0.92,0.35,1
0.13,0.91,0.37,0.62,0.88,0.24,0.57,0.73,0.49,1
0.87,0.26,0.71,0.83,0.19,0.45,0.62,0.54,0.31,0
0.49,0.66,0.29,0.78,0.94,0.35,0.81,0.42,0.67,1
0.75,0.18,0.88,0.53,0.41,0.69,0.24,0.91,0.58,0
0.38,0.84,0.61,0.72,0.67,0.23,0.59,0.14,0.96,1
0.92,0.47,0.21,0.63,0.35,0.87,0.66,0.74,0.12,0
0.26,0.71,0.77,0.39,0.83,0.58,0.44,0.91,0.61,1
0.64,0.35,0.48,0.94,0.55,0.81,0.27,0.63,0.22,0
0.55,0.59,0.86,0.31,0.68,0.42,0.74,0.79,0.36,1
0.79,0.21,0.43,0.89,0.18,0.73,0.61,0.52,0.93,0
0.21,0.83,0.52,0.47,0.76,0.29,0.85,0.68,0.41,1
0.84,0.28,0.69,0.74,0.22,0.63,0.48,0.35,0.57,0
0.46,0.63,0.81,0.36,0.89,0.54,0.72,0.91,0.28,1
0.73,0.34,0.25,0.82,0.47,0.78,0.39,0.66,0.53,0
0.31,0.77,0.59,0.64,0.71,0.18,0.92,0.43,0.87,1
0.89,0.24,0.37,0.91,0.33,0.85,0.56,0.62,0.19,0
0.52,0.68,0.74,0.29,0.95,0.41,0.63,0.88,0.45,1
0.67,0.39,0.46,0.86,0.58,0.72,0.34,0.57,0.26,0
0.28,0.81,0.66,0.51,0.79,0.22,0.91,0.47,0.69,1
0.85,0.16,0.53,0.77,0.27,0.64,0.49,0.36,0.58,0
0.41,0.72,0.83,0.33,0.88,0.57,0.76,0.95,0.24,1
0.74,0.27,0.19,0.84,0.46,0.69,0.32,0.61,0.55,0
0.34,0.78,0.62,0.58,0.73,0.15,0.89,0.44,0.82,1
0.9,0.32,0.45,0.88,0.38,0.83,0.67,0.71,0.2,0
0.48,0.65,0.79,0.41,0.93,0.52,0.58,0.84,0.37,1
0.7,0.36,0.27,0.92,0.54,0.75,0.43,0.68,0.29,0
0.23,0.86,0.68,0.49,0.82,0.31,0.94,0.56,0.73,1
0.86,0.2,0.57,0.81,0.25,0.66,0.51,0.38,0.6,0
0.43,0.74,0.9,0.35,0.87,0.59,0.78,0.96,0.26,1
0.71,0.3,0.24,0.9,0.49,0.71,0.35,0.6,0.5,0
0.32,0.8,0.63,0.57,0.76,0.17,0.9,0.45,0.84,1
0.89,0.28,0.49,0.85,0.37,0.82,0.69,0.7,0.21,0
